Zip Code,Territory,Color
75001,Territory A,Red
75002,Territory A,Red
75006,Territory A,Red
75007,Territory A,Red
75010,Territory A,Red
75011,Territory A,Red
75013,Territory A,Red
75014,Territory A,Red
75015,Territory A,Red
75016,Territory A,Red
75017,Territory A,Red
75019,Territory A,Red
75022,Territory A,Red
75023,Territory A,Red
75024,Territory A,Red
75025,Territory A,Red
75026,Territory A,Red
75027,Territory A,Red
75028,Territory A,Red
75029,Territory A,Red
75030,Territory A,Red
75032,Territory A,Red
75033,Territory A,Red
75034,Territory A,Red
75035,Territory A,Red
75038,Territory A,Red
75039,Territory A,Red
75040,Territory A,Red
75041,Territory A,Red
75042,Territory A,Red
75043,Territory A,Red
75044,Territory A,Red
75045,Territory A,Red
75046,Territory A,Red
75047,Territory A,Red
75048,Territory A,Red
75049,Territory A,Red
75050,Territory A,Red
75051,Territory A,Red
75052,Territory A,Red
75053,Territory A,Red
75054,Territory A,Red
75056,Territory A,Red
75057,Territory A,Red
75060,Territory A,Red
75061,Territory A,Red
75062,Territory A,Red
75063,Territory A,Red
75064,Territory A,Red
75065,Territory A,Red
75067,Territory A,Red
75068,Territory A,Red
75069,Territory A,Red
75070,Territory A,Red
75071,Territory A,Red
75074,Territory A,Red
75075,Territory A,Red
75077,Territory A,Red
75078,Territory A,Red
75080,Territory A,Red
75081,Territory A,Red
75082,Territory A,Red
75083,Territory A,Red
75085,Territory A,Red
75086,Territory A,Red
75087,Territory A,Red
75088,Territory A,Red
75089,Territory A,Red
75093,Territory A,Red
75094,Territory A,Red
75098,Territory A,Red
75099,Territory A,Red
75101,Territory A,Red
75104,Territory A,Red
75106,Territory A,Red
75114,Territory A,Red
75115,Territory A,Red
75116,Territory A,Red
75119,Territory A,Red
75120,Territory A,Red
75123,Territory A,Red
75125,Territory A,Red
75126,Territory A,Red
75132,Territory A,Red
75134,Territory A,Red
75137,Territory A,Red
75138,Territory A,Red
75141,Territory A,Red
75142,Territory A,Red
75146,Territory A,Red
75149,Territory A,Red
75150,Territory A,Red
75152,Territory A,Red
75154,Territory A,Red
75157,Territory A,Red
75159,Territory A,Red
75166,Territory A,Red
75172,Territory A,Red
75180,Territory A,Red
75181,Territory A,Red
75182,Territory A,Red
75185,Territory A,Red
75187,Territory A,Red
75189,Territory A,Red
75201,Territory A,Red
75202,Territory A,Red
75203,Territory A,Red
75204,Territory A,Red
75205,Territory A,Red
75206,Territory A,Red
75207,Territory A,Red
75208,Territory A,Red
75209,Territory A,Red
75210,Territory A,Red
75211,Territory A,Red
75212,Territory A,Red
75214,Territory A,Red
75215,Territory A,Red
75216,Territory A,Red
75217,Territory A,Red
75218,Territory A,Red
75219,Territory A,Red
75220,Territory A,Red
75221,Territory A,Red
75222,Territory A,Red
75223,Territory A,Red
75224,Territory A,Red
75225,Territory A,Red
75226,Territory A,Red
75227,Territory A,Red
75228,Territory A,Red
75229,Territory A,Red
75230,Territory A,Red
75231,Territory A,Red
75232,Territory A,Red
75233,Territory A,Red
75234,Territory A,Red
75235,Territory A,Red
75236,Territory A,Red
75237,Territory A,Red
75238,Territory A,Red
75240,Territory A,Red
75241,Territory A,Red
75242,Territory A,Red
75243,Territory A,Red
75244,Territory A,Red
75246,Territory A,Red
75247,Territory A,Red
75248,Territory A,Red
75249,Territory A,Red
75250,Territory A,Red
75251,Territory A,Red
75252,Territory A,Red
75253,Territory A,Red
75254,Territory A,Red
75260,Territory A,Red
75261,Territory A,Red
75262,Territory A,Red
75263,Territory A,Red
75264,Territory A,Red
75265,Territory A,Red
75266,Territory A,Red
75267,Territory A,Red
75270,Territory A,Red
75275,Territory A,Red
75277,Territory A,Red
75283,Territory A,Red
75284,Territory A,Red
75285,Territory A,Red
75287,Territory A,Red
75301,Territory A,Red
75303,Territory A,Red
75312,Territory A,Red
75313,Territory A,Red
75315,Territory A,Red
75320,Territory A,Red
75326,Territory A,Red
75336,Territory A,Red
75339,Territory A,Red
75342,Territory A,Red
75354,Territory A,Red
75355,Territory A,Red
75356,Territory A,Red
75357,Territory A,Red
75358,Territory A,Red
75359,Territory A,Red
75360,Territory A,Red
75367,Territory A,Red
75368,Territory A,Red
75370,Territory A,Red
75371,Territory A,Red
75372,Territory A,Red
75373,Territory A,Red
75374,Territory A,Red
75376,Territory A,Red
75378,Territory A,Red
75379,Territory A,Red
75380,Territory A,Red
75381,Territory A,Red
75382,Territory A,Red
75389,Territory A,Red
75390,Territory A,Red
75391,Territory A,Red
75392,Territory A,Red
75393,Territory A,Red
75394,Territory A,Red
75395,Territory A,Red
75397,Territory A,Red
75398,Territory A,Red
75454,Territory A,Red
76001,Territory A,Red
76002,Territory A,Red
76003,Territory A,Red
76004,Territory A,Red
76005,Territory A,Red
76006,Territory A,Red
76007,Territory A,Red
76010,Territory A,Red
76011,Territory A,Red
76012,Territory A,Red
76013,Territory A,Red
76014,Territory A,Red
76015,Territory A,Red
76016,Territory A,Red
76017,Territory A,Red
76018,Territory A,Red
76019,Territory A,Red
76020,Territory A,Red
76021,Territory A,Red
76022,Territory A,Red
76028,Territory A,Red
76034,Territory A,Red
76036,Territory A,Red
76039,Territory A,Red
76040,Territory A,Red
76051,Territory A,Red
76052,Territory A,Red
76053,Territory A,Red
76054,Territory A,Red
76058,Territory A,Red
76060,Territory A,Red
76061,Territory A,Red
76063,Territory A,Red
76065,Territory A,Red
76082,Territory A,Red
76092,Territory A,Red
76094,Territory A,Red
76095,Territory A,Red
76096,Territory A,Red
76097,Territory A,Red
76098,Territory A,Red
76099,Territory A,Red
76101,Territory A,Red
76102,Territory A,Red
76103,Territory A,Red
76104,Territory A,Red
76105,Territory A,Red
76106,Territory A,Red
76107,Territory A,Red
76108,Territory A,Red
76109,Territory A,Red
76110,Territory A,Red
76111,Territory A,Red
76112,Territory A,Red
76113,Territory A,Red
76114,Territory A,Red
76115,Territory A,Red
76116,Territory A,Red
76117,Territory A,Red
76118,Territory A,Red
76119,Territory A,Red
76120,Territory A,Red
76121,Territory A,Red
76122,Territory A,Red
76123,Territory A,Red
76124,Territory A,Red
76126,Territory A,Red
76127,Territory A,Red
76129,Territory A,Red
76130,Territory A,Red
76131,Territory A,Red
76132,Territory A,Red
76133,Territory A,Red
76134,Territory A,Red
76135,Territory A,Red
76136,Territory A,Red
76137,Territory A,Red
76140,Territory A,Red
76147,Territory A,Red
76148,Territory A,Red
76150,Territory A,Red
76155,Territory A,Red
76161,Territory A,Red
76162,Territory A,Red
76163,Territory A,Red
76164,Territory A,Red
76166,Territory A,Red
76177,Territory A,Red
76179,Territory A,Red
76180,Territory A,Red
76181,Territory A,Red
76182,Territory A,Red
76185,Territory A,Red
76190,Territory A,Red
76191,Territory A,Red
76192,Territory A,Red
76193,Territory A,Red
76195,Territory A,Red
76196,Territory A,Red
76197,Territory A,Red
76198,Territory A,Red
76199,Territory A,Red
76201,Territory A,Red
76202,Territory A,Red
76203,Territory A,Red
76204,Territory A,Red
76205,Territory A,Red
76206,Territory A,Red
76207,Territory A,Red
76208,Territory A,Red
76209,Territory A,Red
76210,Territory A,Red
76226,Territory A,Red
76227,Territory A,Red
76244,Territory A,Red
76248,Territory A,Red
76262,Territory A,Red
80002,Territory A,Red
80003,Territory A,Red
80004,Territory A,Red
80005,Territory A,Red
80007,Territory A,Red
80010,Territory A,Red
80011,Territory A,Red
80012,Territory A,Red
80013,Territory A,Red
80014,Territory A,Red
80015,Territory A,Red
80016,Territory A,Red
80017,Territory A,Red
80018,Territory A,Red
80019,Territory A,Red
80020,Territory A,Red
80021,Territory A,Red
80022,Territory A,Red
80023,Territory A,Red
80024,Territory A,Red
80026,Territory A,Red
80027,Territory A,Red
80030,Territory A,Red
80031,Territory A,Red
80033,Territory A,Red
80034,Territory A,Red
80035,Territory A,Red
80036,Territory A,Red
80037,Territory A,Red
80038,Territory A,Red
80040,Territory A,Red
80041,Territory A,Red
80042,Territory A,Red
80044,Territory A,Red
80045,Territory A,Red
80046,Territory A,Red
80047,Territory A,Red
80104,Territory A,Red
80108,Territory A,Red
80109,Territory A,Red
80110,Territory A,Red
80111,Territory A,Red
80112,Territory A,Red
80113,Territory A,Red
80120,Territory A,Red
80121,Territory A,Red
80122,Territory A,Red
80123,Territory A,Red
80124,Territory A,Red
80125,Territory A,Red
80126,Territory A,Red
80127,Territory A,Red
80128,Territory A,Red
80129,Territory A,Red
80130,Territory A,Red
80134,Territory A,Red
80138,Territory A,Red
80150,Territory A,Red
80151,Territory A,Red
80155,Territory A,Red
80201,Territory A,Red
80202,Territory A,Red
80203,Territory A,Red
80204,Territory A,Red
80205,Territory A,Red
80206,Territory A,Red
80207,Territory A,Red
80208,Territory A,Red
80209,Territory A,Red
80210,Territory A,Red
80211,Territory A,Red
80212,Territory A,Red
80214,Territory A,Red
80215,Territory A,Red
80216,Territory A,Red
80217,Territory A,Red
80218,Territory A,Red
80219,Territory A,Red
80220,Territory A,Red
80221,Territory A,Red
80222,Territory A,Red
80223,Territory A,Red
80224,Territory A,Red
80225,Territory A,Red
80226,Territory A,Red
80227,Territory A,Red
80228,Territory A,Red
80229,Territory A,Red
80230,Territory A,Red
80231,Territory A,Red
80232,Territory A,Red
80233,Territory A,Red
80234,Territory A,Red
80235,Territory A,Red
80236,Territory A,Red
80237,Territory A,Red
80238,Territory A,Red
80239,Territory A,Red
80241,Territory A,Red
80243,Territory A,Red
80246,Territory A,Red
80247,Territory A,Red
80248,Territory A,Red
80249,Territory A,Red
80250,Territory A,Red
80256,Territory A,Red
80257,Territory A,Red
80259,Territory A,Red
80260,Territory A,Red
80261,Territory A,Red
80263,Territory A,Red
80264,Territory A,Red
80265,Territory A,Red
80266,Territory A,Red
80271,Territory A,Red
80273,Territory A,Red
80274,Territory A,Red
80281,Territory A,Red
80290,Territory A,Red
80291,Territory A,Red
80293,Territory A,Red
80294,Territory A,Red
80299,Territory A,Red
80301,Territory A,Red
80302,Territory A,Red
80303,Territory A,Red
80304,Territory A,Red
80305,Territory A,Red
80306,Territory A,Red
80307,Territory A,Red
80308,Territory A,Red
80309,Territory A,Red
80310,Territory A,Red
80314,Territory A,Red
80401,Territory A,Red
80402,Territory A,Red
80403,Territory A,Red
80419,Territory A,Red
80501,Territory A,Red
80502,Territory A,Red
80503,Territory A,Red
80504,Territory A,Red
80513,Territory A,Red
80514,Territory A,Red
80516,Territory A,Red
80520,Territory A,Red
80521,Territory A,Red
80522,Territory A,Red
80523,Territory A,Red
80524,Territory A,Red
80525,Territory A,Red
80526,Territory A,Red
80527,Territory A,Red
80528,Territory A,Red
80530,Territory A,Red
80533,Territory A,Red
80534,Territory A,Red
80535,Territory A,Red
80537,Territory A,Red
80538,Territory A,Red
80539,Territory A,Red
80540,Territory A,Red
80542,Territory A,Red
80543,Territory A,Red
80549,Territory A,Red
80550,Territory A,Red
80601,Territory A,Red
80602,Territory A,Red
80603,Territory A,Red
80614,Territory A,Red
80615,Territory A,Red
80620,Territory A,Red
80621,Territory A,Red
80623,Territory A,Red
80624,Territory A,Red
80631,Territory A,Red
80634,Territory A,Red
80640,Territory A,Red
80644,Territory A,Red
80645,Territory A,Red
80646,Territory A,Red
80651,Territory A,Red
80840,Territory A,Red
80901,Territory A,Red
80902,Territory A,Red
80903,Territory A,Red
80904,Territory A,Red
80905,Territory A,Red
80906,Territory A,Red
80907,Territory A,Red
80908,Territory A,Red
80909,Territory A,Red
80910,Territory A,Red
80911,Territory A,Red
80912,Territory A,Red
80913,Territory A,Red
80914,Territory A,Red
80915,Territory A,Red
80916,Territory A,Red
80917,Territory A,Red
80918,Territory A,Red
80919,Territory A,Red
80920,Territory A,Red
80921,Territory A,Red
80922,Territory A,Red
80923,Territory A,Red
80924,Territory A,Red
80925,Territory A,Red
80926,Territory A,Red
80928,Territory A,Red
80929,Territory A,Red
80930,Territory A,Red
80931,Territory A,Red
80932,Territory A,Red
80933,Territory A,Red
80934,Territory A,Red
80935,Territory A,Red
80936,Territory A,Red
80937,Territory A,Red
80941,Territory A,Red
80942,Territory A,Red
80946,Territory A,Red
80947,Territory A,Red
80949,Territory A,Red
80950,Territory A,Red
80951,Territory A,Red
80960,Territory A,Red
80962,Territory A,Red
80970,Territory A,Red
80977,Territory A,Red
80995,Territory A,Red
80997,Territory A,Red
83201,Territory A,Red
83202,Territory A,Red
83204,Territory A,Red
83221,Territory A,Red
83274,Territory A,Red
83301,Territory A,Red
83302,Territory A,Red
83313,Territory A,Red
83314,Territory A,Red
83316,Territory A,Red
83318,Territory A,Red
83322,Territory A,Red
83327,Territory A,Red
83328,Territory A,Red
83330,Territory A,Red
83332,Territory A,Red
83333,Territory A,Red
83336,Territory A,Red
83338,Territory A,Red
83340,Territory A,Red
83341,Territory A,Red
83347,Territory A,Red
83350,Territory A,Red
83353,Territory A,Red
83355,Territory A,Red
83401,Territory A,Red
83402,Territory A,Red
83404,Territory A,Red
83406,Territory A,Red
83440,Territory A,Red
83442,Territory A,Red
83501,Territory A,Red
83605,Territory A,Red
83607,Territory A,Red
83611,Territory A,Red
83616,Territory A,Red
83617,Territory A,Red
83619,Territory A,Red
83622,Territory A,Red
83623,Territory A,Red
83626,Territory A,Red
83628,Territory A,Red
83634,Territory A,Red
83638,Territory A,Red
83639,Territory A,Red
83641,Territory A,Red
83642,Territory A,Red
83644,Territory A,Red
83646,Territory A,Red
83647,Territory A,Red
83651,Territory A,Red
83655,Territory A,Red
83660,Territory A,Red
83661,Territory A,Red
83669,Territory A,Red
83672,Territory A,Red
83676,Territory A,Red
83686,Territory A,Red
83687,Territory A,Red
83702,Territory A,Red
83703,Territory A,Red
83704,Territory A,Red
83705,Territory A,Red
83706,Territory A,Red
83708,Territory A,Red
83709,Territory A,Red
83712,Territory A,Red
83713,Territory A,Red
83714,Territory A,Red
83716,Territory A,Red
83720,Territory A,Red
83722,Territory A,Red
83724,Territory A,Red
83725,Territory A,Red
83726,Territory A,Red
83728,Territory A,Red
83729,Territory A,Red
83732,Territory A,Red
83735,Territory A,Red
83756,Territory A,Red
83801,Territory A,Red
83803,Territory A,Red
83804,Territory A,Red
83805,Territory A,Red
83809,Territory A,Red
83810,Territory A,Red
83813,Territory A,Red
83814,Territory A,Red
83815,Territory A,Red
83822,Territory A,Red
83833,Territory A,Red
83835,Territory A,Red
83837,Territory A,Red
83839,Territory A,Red
83842,Territory A,Red
83843,Territory A,Red
83844,Territory A,Red
83847,Territory A,Red
83850,Territory A,Red
83851,Territory A,Red
83852,Territory A,Red
83854,Territory A,Red
83855,Territory A,Red
83856,Territory A,Red
83857,Territory A,Red
83858,Territory A,Red
83860,Territory A,Red
83861,Territory A,Red
83864,Territory A,Red
83868,Territory A,Red
83869,Territory A,Red
83870,Territory A,Red
83872,Territory A,Red
83876,Territory A,Red
83877,Territory A,Red
84003,Territory A,Red
84004,Territory A,Red
84005,Territory A,Red
84006,Territory A,Red
84009,Territory A,Red
84010,Territory A,Red
84014,Territory A,Red
84015,Territory A,Red
84016,Territory A,Red
84017,Territory A,Red
84020,Territory A,Red
84025,Territory A,Red
84029,Territory A,Red
84032,Territory A,Red
84037,Territory A,Red
84040,Territory A,Red
84041,Territory A,Red
84042,Territory A,Red
84043,Territory A,Red
84044,Territory A,Red
84045,Territory A,Red
84047,Territory A,Red
